RowNumber,CustomerId,Surname,First Name,Date of Birth,Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Address,Contact Information,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Churn Date,Balance,NumOfProducts,NumComplaints
89949,d7089a85-4f26-49cb-b7b3-a194886d458f,Patel,Susan,1993-12-13,Female,Married,3,"Horticulturist, amenity",53140.94,Bachelor's,"PSC 9004, Box 7607
APO AE 92345",6398183910,12,Retail,Phone,719,14,5205.36,0,,,148110.06,2,7
104568,e024b3f7-5dfa-4168-8b7e-7f09016041fb,Brewer,Andrew,1976-02-29,Female,Single,4,Lexicographer,23464.73,Bachelor's,"8725 Juan Expressway
East Courtney, RI 75569",+1-782-700-5436x747,16,Retail,Phone,383,15,1716.63,0,,,139165.57,3,3
32516,8ef08fd2-751d-4f83-a276-d0838190d57f,Martin,Mark,1968-02-04,Female,Single,2,"Investment banker, corporate",33899.88,Diploma,"80437 Pollard Springs Suite 761
Catherineborough, PA 74652",591.246.4206,20,Retail,Email,668,25,14145.69,0,,,103098.24,3,1
98701,f8181043-0bc6-4dbb-b371-18fc50283c43,Hatfield,Bill,1987-07-06,Male,Single,0,Probation officer,74047.61,Bachelor's,"9802 Thompson Stream Apt. 921
Myershaven, WY 93938",(898)648-7719,13,Retail,Phone,731,5,8026.46,0,,,82122.7,4,3
96446,00e1da94-0e30-4146-bd7e-322ab6242d4f,Vincent,Zachary,1953-12-26,Female,Divorced,0,Senior tax professional/tax inspector,46499.58,Bachelor's,"616 Allison Street Apt. 393
Port Diane, NY 16108",001-998-232-8969x818,19,Corporate,Email,469,22,38671.86,0,,,180307.78,2,2
45872,13e699f2-2071-41f3-a18f-ca058b6cd952,Bullock,Jillian,1949-07-10,Female,Divorced,2,Commercial horticulturist,45874.35,Diploma,"1775 Laura Rue Apt. 706
Diazborough, OH 63294",5162477694,29,Retail,Phone,353,17,11344.22,0,,,76154.94,2,4
53997,51d718e9-b2ee-4172-8953-d6939cbca65a,Orr,Francisco,1972-05-06,Female,Divorced,3,Chiropractor,84434.54,Diploma,"78818 Summers Fall Apt. 897
Harrisshire, MD 04011",001-667-300-8381x9662,14,Corporate,Email,388,26,20281.7,0,,,82207.6,3,9
17739,a46ccf87-d9dc-4f6e-9aa5-7b65a9d54b43,Stevenson,Erica,1986-06-25,Female,Single,1,Actuary,98465.49,Diploma,"366 Frederick Corners
Andersonton, RI 77129",512-776-2262x17945,9,Corporate,Email,731,5,38217.77,0,,,82778.01,3,4
103982,39dbf253-bc4b-4b78-9893-ac1cf3065e93,Perez,Dennis,1982-10-08,Male,Married,5,Armed forces technical officer,28263.92,Master's,"760 Michelle Loop Suite 079
South Darlenemouth, PA 82333",764-577-2375,13,Retail,Phone,523,3,48194.97,0,,,185086.61,5,6
63098,390b62d3-4888-4bd1-9bf7-194b45c622cc,Houston,Zachary,1996-09-01,Female,Married,2,"Pharmacist, hospital",16296.13,High School,"61249 Jennifer Trail Suite 729
Elizabethfort, FM 77408",+1-921-590-8541x97765,11,Retail,Email,731,22,44129.81,0,,,104559.61,5,2
63981,51e93b26-8e6b-4019-a6b2-29247f72b1c8,Harvey,Douglas,1974-08-24,Male,Divorced,2,Pharmacologist,93649.49,Diploma,"633 Mary Ridges
South Amyland, VI 34473",(774)768-4643x873,6,Corporate,Phone,464,29,13473.51,0,,,192073.28,1,5
47713,77c48726-dc2c-4556-b282-574c7621f946,Cisneros,Christina,1973-04-19,Female,Married,1,Product designer,80936.24,High School,"53219 Victoria Loaf Apt. 637
Mirandaborough, NV 51883",917.815.7781,11,Corporate,Phone,410,20,35834.87,0,,,215265.44,3,8
55978,5c5a140f-3333-4e8c-8c87-793993b12bf9,Mullen,Nathan,1980-11-17,Male,Single,1,Bonds trader,61382.18,High School,"7719 Hanson Shoals
Veronicaborough, DE 52472",(920)535-7381,13,Corporate,Email,832,1,5355.15,0,,,9949.55,2,2
50320,86bbd134-ce7f-4c04-8851-d90024cc22d7,Garcia,Alejandra,1994-11-18,Female,Divorced,0,"Administrator, Civil Service",58180.2,Diploma,"89446 Johnson Estates Suite 245
Suttonmouth, MI 38589",(202)809-2566,6,SME,Email,662,7,37448.75,0,,,211315.33,3,1
6729,e70aa7e2-008b-4683-b0e2-4e21136bfaf1,Coleman,Justin,1995-10-22,Female,Married,0,Dentist,99435.2,Diploma,"83536 Miller Union Apt. 639
West Kevinchester, CT 47216",+1-295-624-0909x17499,29,SME,Phone,620,27,45569.36,0,,,44993.68,4,6
31745,4e890a55-4d0e-4758-9bcf-b2aee8313f45,Thomas,Mary,1978-01-01,Male,Married,3,"Surveyor, commercial/residential",20738.04,High School,"5084 Gregory Island
West Brendashire, NV 16618",(821)921-0042,12,SME,Phone,305,18,4943.87,0,,,156991.06,4,10
105065,37b4acca-5c3e-4a12-82fd-faafc3b16226,Jackson,Dana,1962-09-10,Female,Single,1,"Engineer, civil (contracting)",71818.99,High School,"38755 Ortiz Mountains Suite 787
Lake Alex, IN 89154",001-811-476-6560,21,Retail,Email,793,21,27990.08,0,,,184341.09,4,8
86846,1866d04a-efe0-4006-8578-55925503144a,Phillips,James,1977-11-27,Female,Married,0,"Journalist, broadcasting",13909.93,Diploma,"77124 Hawkins Motorway Suite 947
Navarrobury, IA 83921",268-592-3562x129,10,Corporate,Phone,777,16,15935.66,0,,,244232.42,2,9
105761,19a810dc-9eb5-47ea-8be9-3ae4e3b2fbd9,Rivera,Dale,1965-09-10,Male,Single,1,Mental health nurse,58622.7,Master's,"69186 Samantha Lake
South Robertville, DE 85674",416-421-2461,29,SME,Phone,759,28,40817.02,0,,,59407.07,2,1
28826,ecd976b4-cd1e-4799-948a-8bb441f42627,Watkins,Michael,1984-01-22,Male,Single,4,Commissioning editor,56029.22,Bachelor's,"195 Bailey Mount
East Oliviatown, NM 41540",+1-556-806-5300x95395,13,SME,Phone,830,9,15258.49,0,,,184490.93,3,1
110724,d88b68d1-3941-41cb-bee4-9f6396b62d5d,Davis,Shawn,2002-11-30,Male,Divorced,5,Graphic designer,31462.01,Master's,"117 Jason Lodge Apt. 446
Lake Arthur, OH 47616",+1-582-934-9316,10,Corporate,Email,792,27,18469.69,0,,,9646.81,5,5
39864,7af1ae0d-f929-4322-bc2a-79c186cf55c3,Stevens,Deanna,1955-05-23,Female,Married,0,Leisure centre manager,22682.6,Bachelor's,"1255 Donald Skyway Apt. 712
Kellyton, FM 59469",365.708.7792x167,11,Retail,Phone,714,2,23997.18,0,,,130833.72,5,7
98643,a11fca09-7b43-446b-9042-28c08c2b6ac5,Jensen,Kevin,1978-12-25,Male,Married,2,Equality and diversity officer,64553.54,Diploma,"6282 Kennedy Ports
North Oliviaview, OH 33969",(838)819-7055x1705,2,SME,Email,457,12,28551.99,0,,,240969.68,1,5
11146,6f711550-690f-4cea-95da-6a84017696a7,Richardson,Anthony,1957-03-21,Female,Single,0,Multimedia programmer,37265.54,High School,"532 Ross Camp Suite 035
Lowefurt, RI 39677",001-382-748-9774x85761,10,Corporate,Email,743,9,29737.75,0,,,120803.31,2,9
97163,64cea985-3c4d-4a86-9f5c-c88f677e2af3,Martinez,James,1991-11-07,Female,Married,0,Minerals surveyor,59791.29,Bachelor's,"5084 Barrett Roads
New Marcusbury, KY 24998",+1-838-387-7031x75227,14,SME,Phone,338,21,30427.34,1,Better Offers Elsewhere,2024-05-30,49279.97,1,9
75202,73152553-cdde-4024-897e-8eecad4a7603,Fitzgerald,Nancy,1968-07-07,Female,Single,1,"Development worker, international aid",92784.4,Master's,"342 Maldonado Ferry Suite 211
Debbieview, IL 62533",(604)358-7660,2,Corporate,Phone,353,13,43106.49,0,,,94278.49,4,9
97316,70741f3c-dc51-4686-9f21-1dbc252018d2,Davis,Edward,1974-12-17,Female,Married,4,Armed forces technical officer,43982.19,High School,"PSC 1882, Box 2163
APO AE 63096",984.596.5877x473,16,Retail,Phone,342,13,40283.29,0,,,175470.04,4,9
85869,3158ded9-fef2-4569-971f-370761799872,Briggs,Geoffrey,1969-02-17,Male,Divorced,4,"Surveyor, mining",58853.75,Diploma,"14226 Hays Mall
Owensport, ME 09757",943.999.0494x17823,19,Corporate,Phone,567,11,16639.8,0,,,137399.49,3,10
49815,7302df9d-e438-4c38-a8e5-c5c6e77772c8,Miller,Anthony,2002-08-14,Male,Married,2,"Psychologist, forensic",19429.54,Bachelor's,"59338 Ford Union Apt. 962
Lake Janice, RI 50659",(916)229-0582x8537,21,Retail,Email,459,19,29591.53,0,,,107037.08,2,7
27335,5cf0af5b-f7f6-44fe-a109-3686a5795d43,Walker,Toni,1968-09-05,Female,Married,3,Public relations account executive,92079.78,High School,"57057 Travis Place
Leslieburgh, ME 73639",249.568.5201,21,Corporate,Email,551,30,16967.2,0,,,5826.31,5,5
58431,ca3e040a-a2a5-494c-a491-7c0bf809cda0,Fletcher,Anthony,1999-06-17,Male,Divorced,1,Risk manager,66110.95,Master's,"PSC 3572, Box 9576
APO AE 62657",(716)209-5381x6380,25,SME,Phone,828,8,22174.59,0,,,244857.29,3,5
55188,1302ae00-f56f-47bd-a238-6d7c627377f0,Gonzalez,Jason,2005-11-19,Female,Married,2,"Editor, commissioning",89113.52,Diploma,"6329 Bobby Ports Apt. 318
South Darren, GU 49433",(248)900-0746x9521,4,Retail,Phone,458,4,43053.34,0,,,115340.63,4,9
54371,4273ac72-caa1-4bf5-b72a-e4d5c665acc9,Mcclure,Alex,1994-07-25,Male,Single,4,"Psychologist, sport and exercise",77166.74,Bachelor's,"141 Hughes Way Apt. 737
Nicholefort, AR 61703",(371)537-1958x361,30,SME,Phone,646,27,17839.68,0,,,231150.08,2,5
77946,dcec6b0b-9a36-43a7-af93-fb13a283d0ce,Henry,Lawrence,1950-10-03,Male,Married,0,Prison officer,60958.98,Bachelor's,"5463 James Skyway
Michelleborough, OR 15284",001-828-916-5146x6581,11,Retail,Email,746,26,6035.39,0,,,224752.44,5,8
29648,8000cea5-5834-43a2-8f82-14bffe329481,Martin,John,1962-05-28,Female,Married,5,Broadcast presenter,21331.51,Bachelor's,"8548 Sharp Prairie Suite 179
South Adriantown, OH 42575",903.857.1336,14,SME,Email,606,29,8611.18,0,,,182032.28,5,7
61858,b069b09b-56d4-41ef-a22a-bfde8658640c,Rocha,Nathan,1969-05-05,Female,Divorced,3,Hydrographic surveyor,66198.75,High School,"04740 Neal Passage Suite 410
Kevinport, KS 31766",976-724-8850x11653,28,Retail,Phone,686,26,4812.64,0,,,165496.4,5,10
22654,8e671ea3-09b5-4d84-acbf-da2c4b79a4b6,Wagner,Justin,1968-01-08,Female,Married,2,Water quality scientist,95507.79,Diploma,"251 Patel Stravenue
Lake Erin, WA 23437",+1-854-865-2308x428,7,SME,Email,631,9,42490.05,0,,,74334.63,3,8
60075,e91acabf-420a-482e-a959-a42197f0b5e5,Nielsen,Brittney,1999-06-01,Female,Married,2,"Horticulturist, commercial",43928.25,Bachelor's,"95552 Lawson Squares
New Bradley, AK 99813",488-543-1245x304,1,SME,Phone,444,25,26364.7,1,Relocation,2024-06-14,87642.57,1,9
18665,a36536e3-1ec5-4d7b-b950-6100355d0c8c,Hill,Christopher,1962-10-16,Male,Married,0,"Engineer, broadcasting (operations)",28312.2,Master's,"8445 Melissa Coves Suite 786
Port Jackborough, ND 54824",229-690-0999,29,SME,Email,826,8,38722.25,0,,,1919.41,5,3
19029,b9a79667-8850-491a-9d69-a545204cace1,Thompson,Nicole,1994-03-26,Female,Single,5,Contractor,30003.22,High School,"USNV Melton
FPO AA 94766",428-329-3798x960,15,Corporate,Phone,783,27,47381.67,0,,,141343.88,1,2
77019,22170e13-77ce-4451-ba91-009bb3706332,Collins,David,1963-01-02,Male,Single,5,Personal assistant,96340.14,Diploma,"27740 Whitney Path
Hollowayberg, ID 83435",(908)950-5476,5,Corporate,Phone,482,17,42002.0,0,,,156180.53,3,5
37248,4de6acc3-d403-4b9e-bf6a-93e304a0e180,Herring,Sean,1948-10-02,Male,Divorced,5,Facilities manager,67324.79,Bachelor's,"PSC 8454, Box 5341
APO AP 65752",(470)222-2407x9974,17,Corporate,Email,781,25,24096.62,0,,,55566.24,2,10
88374,2d40e34f-492c-49bf-99cc-c0ea39f59129,Lyons,Tina,1990-09-21,Female,Divorced,2,Horticultural therapist,93187.24,Diploma,"666 Robin Drives
New Ericchester, GA 05816",226-967-3165x57380,6,SME,Email,789,3,44620.48,0,,,229825.0,1,3
63330,bd551bcc-435f-4722-8f3e-30b0c1cdcfd8,Aguilar,Kimberly,1988-09-11,Female,Single,2,"Librarian, academic",79139.18,High School,"Unit 5072 Box 0858
DPO AA 43454",(908)720-9461x65406,18,Corporate,Phone,811,1,15770.39,0,,,6191.8,5,4
18780,24156da9-ea11-42a8-83ec-ce30ea03508f,Wyatt,Jessica,1992-04-21,Male,Married,1,Lawyer,80609.5,Bachelor's,"05668 Rebecca Park
Port Scott, CA 81457",+1-200-570-5388x67970,14,Retail,Phone,403,21,42897.99,0,,,113201.99,4,2
18474,ad1aa2a1-5641-42d2-8e7f-f2b089bf19a3,Barker,Joseph,1961-06-14,Female,Married,1,Financial controller,9171.69,High School,"206 Barton Station Suite 238
Cooperborough, FM 70023",211.704.8012,16,Retail,Email,441,16,32192.64,0,,,221389.07,4,3
106389,f1a06eac-8f7a-40f5-bd98-d2d8682b5d46,Henry,Heidi,1957-01-16,Female,Divorced,4,Special educational needs teacher,28439.83,Diploma,"134 Oscar Fields Suite 496
Corymouth, SC 03815",+1-432-909-2944x96942,7,Corporate,Email,481,18,5672.16,0,,,120249.54,4,5
7691,f3b44590-8396-4ce7-b198-d03383af0760,White,Kelsey,1953-01-15,Female,Divorced,4,"Producer, television/film/video",28149.05,High School,"22615 Scott Forks Apt. 654
Sharpstad, WY 33225",973.482.0131x32526,6,SME,Phone,570,16,46908.05,0,,,201615.29,4,10
105312,cc68c363-4ea5-45b6-81cd-a982c281c71d,Cook,Jeremy,2004-08-10,Female,Married,0,Accommodation manager,42850.64,Master's,"47079 Spears Mountain
South Walterfort, PR 16830",568-439-6618,4,Corporate,Phone,489,21,3319.19,1,Relocation,2024-08-07,21863.0,2,7
98826,2a8f5c96-ed41-43bf-b43f-31f8bf15d120,Coleman,Jennifer,1990-03-08,Female,Single,3,"Geologist, engineering",42396.3,Diploma,"56625 Nicholas Manors
South Sarachester, NV 64067",825-601-5672x144,2,SME,Phone,716,15,36441.21,0,,,199896.06,3,8
112105,c7a22034-c060-4ba3-99d6-49fa9aa241ea,Small,Shawn,1954-01-02,Male,Divorced,2,Database administrator,81484.31,Bachelor's,"4628 Melanie Port
Sanchezside, AS 48515",804-771-1604,17,Corporate,Phone,330,11,33090.15,0,,,128703.0,3,0
10331,fb397cee-e010-4fc6-8d7a-6af08e00a2b1,Medina,Joseph,1954-04-16,Male,Married,5,Chartered legal executive (England and Wales),80047.81,High School,"1462 Hall Parks
Lake Jennifer, WI 01367",(385)744-7271x922,4,Retail,Phone,343,18,19646.97,1,Service Issues,2024-04-04,31882.3,2,7
68083,c8cda875-c309-47f9-a5b2-524eea8fca1c,Wilson,Mark,1997-01-20,Male,Divorced,0,"Conservator, museum/gallery",32316.11,High School,"94245 Rice Grove Suite 521
Stephenton, MH 12599",001-685-502-8910x8257,17,Corporate,Phone,794,2,20918.97,0,,,217769.18,5,9
15045,556e03a6-532a-4b16-8665-239db214bec8,Floyd,Ashley,1969-01-30,Female,Divorced,5,"Surveyor, rural practice",62854.68,Diploma,"464 Malone Tunnel Apt. 865
Janetland, DE 99912",4068769069,26,Retail,Phone,842,17,5687.52,0,,,148841.36,1,7
19687,e27dca28-d501-44f0-8f64-642e552da7c2,Brown,Kevin,1951-07-23,Female,Single,5,Clinical psychologist,34763.19,Diploma,"7932 Cummings Terrace
West Christopher, MA 73458",918.599.2926,1,SME,Email,376,26,18893.62,0,,,119748.46,5,1
101572,35586eb7-72fb-4fde-a0e8-a3326048a986,Gibson,Emily,2000-08-03,Male,Single,3,Musician,35417.72,High School,"USS Kelly
FPO AE 06763",001-276-934-9418,14,Retail,Email,683,8,25915.06,0,,,70919.26,4,7
60356,763447e0-273c-4080-af5b-5a30de993495,Smith,Amanda,1972-05-20,Female,Single,4,Curator,92465.74,Diploma,"9581 Joseph Ferry Suite 435
Jamesborough, FM 28598",3057397750,14,SME,Email,787,5,26392.97,0,,,149480.88,5,1
59934,0dd4b367-c2c9-45e8-9949-5abd50e04a0d,Ross,Sherri,1949-12-09,Male,Married,5,"Surveyor, minerals",74088.56,Bachelor's,"USNV Butler
FPO AP 48010",349-337-2133x88245,25,Corporate,Email,731,25,45079.02,0,,,26396.57,5,10
18912,dc27aeb1-15c8-464b-83bc-5ede87a9e6ba,Jones,Cassidy,1992-11-30,Female,Divorced,5,Tax adviser,98275.1,Bachelor's,"257 Duran Viaduct Suite 280
Lake Rebecca, TX 53763",620.870.5145x294,19,Corporate,Phone,585,24,22792.11,0,,,66157.42,4,10
61658,db504ae5-77cb-4f24-889c-f38fea8cdef3,Mason,Melanie,1967-07-17,Male,Married,1,Wellsite geologist,93676.53,Diploma,"306 Raymond Rapid Apt. 011
Muellerchester, CT 61412",958.749.1810,2,Retail,Email,785,17,22743.85,1,Relocation,2024-02-06,30764.9,1,10
23466,49465c0a-425d-474b-8022-1e000a182a88,Browning,Katie,1960-08-04,Female,Divorced,4,"Lecturer, further education",24681.87,High School,"28622 Frank Centers
Cameronberg, ME 68127",580.959.2873x993,9,SME,Email,797,24,38271.77,1,Relocation,2024-02-03,1403.39,3,9
25331,88a9ec98-ef4d-4cd8-966f-946233262cd9,Gutierrez,George,1983-12-29,Male,Married,5,"Secretary, company",41138.43,Diploma,"92697 Katie Dam
Kingborough, CO 27618",+1-875-750-0279x1297,3,Retail,Email,588,21,2046.18,0,,,158934.8,1,1
46242,42ceae2a-d819-458a-bcaa-73fa08c4cbbe,Cochran,Johnny,1956-03-15,Female,Married,2,Communications engineer,71340.34,Diploma,"702 Crawford Flats Suite 244
Lake Gregorymouth, TX 01048",763.656.0763x900,9,Retail,Email,664,12,22634.23,0,,,184666.95,1,10
44060,2016605d-08fb-4853-a1f3-6c53752cb56b,Rivera,Andrew,1999-12-06,Female,Single,5,Camera operator,7454.73,High School,"3459 Joshua Burg Apt. 281
North Nicholasburgh, WV 52624",546.982.1838,2,Retail,Phone,648,25,16130.9,1,Account Closure,2024-06-21,36625.08,1,7
50268,5cd754ea-6b6c-4b7c-ad6e-5781a16e9e79,Harris,Christopher,1956-12-17,Male,Single,5,Higher education careers adviser,83965.4,Master's,"24719 Jennifer Vista
New Angela, DE 04893",995-846-8708,22,Corporate,Email,631,2,2893.7,0,,,217285.45,1,5
6696,5ceb8cb3-bae5-4e95-914c-35b5290013a2,Morrison,Kenneth,1968-10-04,Male,Single,0,Field trials officer,13029.41,Master's,"7993 Vaughn Crossroad
East Jason, OK 50318",562.425.2203x711,10,Retail,Phone,363,14,37239.17,0,,,167642.46,5,1
15195,c1f532a6-2041-42c3-b5dc-c26d10fb4c3d,Williams,Scott,1979-10-17,Male,Divorced,5,Oncologist,34723.38,Master's,"296 Moore Walk Suite 460
New Staceymouth, AK 68209",763-728-7276x1596,4,Retail,Phone,417,14,45599.37,0,,,249164.59,4,6
115304,8c9ac3c6-fc69-4871-bef0-5847e838520c,Ward,Jesse,1966-04-21,Male,Single,5,Metallurgist,75780.54,Diploma,"88708 James Path
Strongview, WA 79394",430.661.4884,4,Retail,Phone,629,29,4673.33,0,,,171410.82,3,1
22864,aea4aecf-deaa-4d4f-bd24-bba6de852e5e,Wagner,Michael,1980-01-31,Female,Married,4,Fitness centre manager,17241.84,High School,"413 Reid Ford
Port Michaeltown, NE 10905",(778)584-6269,10,SME,Phone,752,6,1247.36,0,,,42172.63,1,4
24695,2b0b9cf6-4168-43a3-badb-bf6e233521f3,Kelley,Laura,1951-09-09,Male,Married,4,Haematologist,33441.56,High School,"65171 Santos Underpass
New Cheryl, KS 84264",+1-881-461-2201x9992,4,SME,Email,575,4,36350.11,0,,,144309.08,3,8
86095,e210c498-a2ac-4924-8c88-820408826e1e,Carroll,Christina,1952-11-19,Female,Divorced,2,Lawyer,50504.8,Bachelor's,"230 Justin Land
Port Michael, NJ 55579",(640)266-0580,21,Corporate,Phone,552,11,21923.2,0,,,206896.13,2,7
48519,d74e682f-0512-46e6-952d-98658532c451,Fitzpatrick,Justin,1964-01-23,Male,Married,3,"Editor, commissioning",27767.35,Bachelor's,"46172 Thomas Mission Apt. 877
East Randytown, CA 78729",297.205.0015x57133,20,SME,Phone,417,28,6484.65,0,,,55648.48,4,3
84448,24b15e80-9af6-40e4-8964-fd1bed5361a1,Compton,Thomas,1978-04-09,Female,Divorced,2,Fitness centre manager,78212.54,Diploma,"33749 Daniel Fort Apt. 208
Kevinmouth, PA 66422",410-580-1651,6,Corporate,Email,303,5,44182.28,0,,,47331.3,3,0
67228,050c4ee0-742b-4ccc-96a1-10241626cff7,Steele,Daniel,1961-08-14,Female,Married,0,Public librarian,76456.64,Diploma,"Unit 8878 Box 6251
DPO AP 92968",586-863-8594x6753,25,Corporate,Phone,653,11,24081.8,0,,,245299.64,3,8
100093,f70d85e4-2ca4-42dd-8029-f60e7dc29a41,Clark,Nathan,1991-09-30,Male,Single,0,Retail banker,89311.4,Bachelor's,"50329 Joseph Ports Suite 704
Bradleyfort, AL 01965",4057163178,13,Retail,Email,524,21,35617.09,0,,,211199.08,5,1
58310,330d0746-05d5-40f5-976a-b0988f09a153,Aguilar,Carlos,1962-05-25,Female,Divorced,5,Printmaker,27252.44,Diploma,"902 Moran Greens
East Anthony, ND 37223",(605)784-9649x123,7,Retail,Email,592,6,6346.96,0,,,153234.7,3,8
1881,7b292b78-2595-4180-a6e1-aa3d599bd27a,Park,Luis,1984-04-17,Male,Married,5,Computer games developer,35677.38,Diploma,"456 Christina Hollow
Megantown, NC 18499",(239)872-5037,3,Retail,Phone,434,21,16173.17,0,,,222193.09,3,4
62345,a20ea6b1-4c04-499e-9204-0a0b1f118e4c,Rodriguez,Alicia,1981-05-17,Male,Married,2,Transport planner,21853.14,Bachelor's,"60306 Steven Rapid Apt. 699
Benjaminport, VA 66346",001-487-849-7119,16,Corporate,Email,597,10,36917.12,0,,,185217.59,3,0
32620,6cc89a1f-02ab-476c-8b00-e7383d923114,Ortiz,Heather,1967-07-17,Female,Single,1,Interpreter,96322.26,Diploma,"57170 Rogers Walks Suite 415
Alexandrashire, MA 48745",001-758-782-8009x4749,15,Retail,Phone,363,29,21840.6,1,Relocation,2024-05-22,18241.14,4,5
73713,913fc88a-83f5-4de2-893a-27aea4085016,Frazier,John,1993-04-20,Female,Divorced,5,Charity fundraiser,96018.44,Diploma,"803 Williams Land Apt. 775
South Willie, DC 29400",(407)481-9649,14,Corporate,Email,434,30,43343.48,0,,,72498.25,1,4
